# phi     nH         nHhigh      nHlow    
0.864   2E+023	    3.5E+023	1.5E+023
0.901   1.9E+024	2.4E+024	1.3E+024
0.92    1E+024	    1.5E+024	7E+023
0.85    1.6E+023	2.1E+023	1.1E+023
0.937   2.5E+024	3.1E+024	2E+024


